frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
52,2.08,0.98,1,-0.083,0.195,0.021,-0.0,0.366,0.004,0.0,0.0,0.0,0.26,0.564,0.0,0.15,0.264,0.258,0.08,0.124,0.0,0.014000000000000002,0.038,0.0,0.0
53,2.12,0.98,1,-0.083,0.196,0.022000000000000002,0.0,0.365,0.0,0.0,0.0,0.0,0.258,0.546,0.0,0.146,0.26,0.252,0.08199999999999999,0.124,0.0,0.02,0.048,0.0,0.0
54,2.16,0.98,1,-0.08199999999999999,0.19699999999999998,0.022000000000000002,-0.001,0.365,0.0,0.0,0.0,0.0,0.258,0.518,0.0,0.148,0.258,0.244,0.076,0.11599999999999999,0.0,0.02,0.04,0.0,0.0
55,2.2,0.98,1,-0.08199999999999999,0.196,0.023,0.0,0.364,0.0,0.0,0.0,0.0,0.26,0.52,0.0,0.15,0.258,0.22599999999999998,0.066,0.11399999999999999,0.0,0.026000000000000002,0.026000000000000002,0.0,0.0
56,2.24,0.98,1,-0.083,0.19399999999999998,0.019,0.0,0.364,0.0,0.0,0.0,0.0,0.262,0.55,0.002,0.154,0.268,0.22200000000000003,0.04,0.11000000000000001,0.0,0.026000000000000002,0.008,0.0,0.0
57,2.28,0.98,1,-0.083,0.19399999999999998,0.022000000000000002,0.001,0.363,0.0,0.0,0.0,0.0,0.268,0.55,0.002,0.16,0.27599999999999997,0.21400000000000002,0.032,0.11000000000000001,0.0,0.04,0.01,0.0,0.002
58,2.32,0.98,1,-0.081,0.19899999999999998,0.02,0.001,0.36200000000000004,0.0,0.0,0.0,0.0,0.266,0.5519999999999999,0.002,0.154,0.288,0.21800000000000003,0.036,0.10200000000000001,0.0,0.036,0.024,0.0,0.016
59,2.36,0.98,1,-0.078,0.196,0.023,0.002,0.361,0.0,0.0,0.0,0.0,0.272,0.53,0.0,0.13999999999999999,0.294,0.21600000000000003,0.034,0.10800000000000001,0.0,0.036,0.024,0.0,0.024
60,2.4,0.98,1,-0.079,0.196,0.024,0.001,0.361,0.0,0.0,0.008,0.0,0.272,0.528,0.002,0.132,0.302,0.22799999999999998,0.034,0.10400000000000001,0.0,0.022,0.016,0.0,0.03
61,2.44,0.98,1,-0.077,0.19399999999999998,0.026000000000000002,0.001,0.359,0.002,0.0,0.008,0.0,0.274,0.49400000000000005,0.002,0.13,0.3,0.21800000000000003,0.022,0.11200000000000002,0.0,0.022,0.008,0.0,0.018
62,2.48,0.98,1,-0.077,0.196,0.023,-0.001,0.359,0.002,0.0,0.008,0.0,0.27,0.496,0.002,0.132,0.3,0.21600000000000003,0.038,0.10600000000000001,0.0,0.026000000000000002,0.016,0.0,0.01
63,2.52,0.98,1,-0.077,0.198,0.023,-0.001,0.358,0.002,0.0,0.002,0.0,0.27,0.496,0.0,0.132,0.296,0.2,0.036,0.1,0.0,0.032,0.016,0.0,0.002
64,2.56,0.98,1,-0.076,0.196,0.024,-0.001,0.358,0.0,0.0,0.004,0.0,0.264,0.508,0.0,0.126,0.296,0.21200000000000002,0.041999999999999996,0.10400000000000001,0.0,0.032,0.01,0.0,0.0
65,2.6,0.98,1,-0.073,0.196,0.024,-0.003,0.358,0.008,0.0,0.02,0.0,0.27,0.512,0.0,0.13999999999999999,0.29,0.22400000000000003,0.044,0.10600000000000001,0.0,0.032,0.002,0.0,0.0
66,2.64,0.98,1,-0.07400000000000001,0.19399999999999998,0.026000000000000002,-0.003,0.359,0.008,0.0,0.036,0.0,0.266,0.518,0.0,0.13799999999999998,0.282,0.23199999999999998,0.046,0.10800000000000001,0.0,0.032,0.022,0.0,0.0
67,2.68,0.98,1,-0.077,0.19399999999999998,0.027999999999999997,-0.004,0.359,0.016,0.0,0.08399999999999999,0.0,0.27999999999999997,0.5599999999999999,0.006,0.154,0.26,0.244,0.05,0.09,0.0,0.03,0.02,0.0,0.0
68,2.72,0.98,1,-0.084,0.2,0.034,-0.002,0.359,0.01,0.0,0.182,0.0,0.298,0.628,0.008,0.162,0.236,0.242,0.036,0.072,0.0,0.026000000000000002,0.032,0.0,0.0
69,2.76,0.98,1,-0.086,0.203,0.036000000000000004,-0.002,0.35600000000000004,0.01,0.0,0.33399999999999996,0.0,0.34199999999999997,0.74,0.026000000000000002,0.194,0.21000000000000002,0.256,0.02,0.06999999999999999,0.0,0.028000000000000004,0.028000000000000004,0.0,0.0
70,2.8,0.98,1,-0.08,0.213,0.038,-0.004,0.354,0.0,0.0,0.502,0.0,0.376,0.8320000000000001,0.046,0.202,0.178,0.246,0.002,0.098,0.0,0.036,0.03,0.0,0.0
71,2.84,0.98,1,-0.055,0.22,0.042,-0.01,0.354,0.0,0.0,0.628,0.0,0.396,0.906,0.078,0.21600000000000003,0.152,0.238,0.0,0.11000000000000001,0.0,0.041999999999999996,0.018,0.0,0.0
72,2.88,0.98,1,-0.048,0.214,0.042,-0.013999999999999999,0.35600000000000004,0.0,0.0,0.7,0.0,0.384,0.9380000000000001,0.094,0.21800000000000003,0.122,0.21800000000000003,0.002,0.122,0.0,0.05600000000000001,0.004,0.0,0.0
73,2.92,0.98,1,-0.054000000000000006,0.209,0.043,-0.018000000000000002,0.36,0.0,0.0,0.726,0.0,0.366,0.9480000000000001,0.1,0.22000000000000003,0.11000000000000001,0.194,0.018,0.11399999999999999,0.0,0.05,0.0,0.0,0.008
74,2.96,0.98,1,-0.054000000000000006,0.20600000000000002,0.039,-0.023,0.366,0.0,0.0,0.728,0.0,0.35,0.9400000000000001,0.098,0.21200000000000002,0.09,0.178,0.018,0.142,0.0,0.05,0.0,0.0,0.008
75,3.0,0.98,1,-0.049,0.201,0.033,-0.025,0.37200000000000005,0.0,0.0,0.712,0.0,0.348,0.9199999999999999,0.10800000000000001,0.21000000000000002,0.08399999999999999,0.156,0.032,0.154,0.0,0.044,0.0,0.0,0.028000000000000004
76,3.04,0.98,1,-0.06,0.196,0.033,-0.023,0.37,0.0,0.0,0.7,0.0,0.352,0.8960000000000001,0.11599999999999999,0.22599999999999998,0.08199999999999999,0.144,0.038,0.16399999999999998,0.0,0.057999999999999996,0.0,0.0,0.026000000000000002
77,3.08,0.98,1,-0.062,0.198,0.032,-0.022000000000000002,0.366,0.0,0.0,0.688,0.0,0.36,0.898,0.118,0.242,0.088,0.122,0.072,0.148,0.0,0.06999999999999999,0.0,0.0,0.038
78,3.12,0.98,1,-0.065,0.195,0.034,-0.02,0.36200000000000004,0.0,0.0,0.6940000000000001,0.0,0.362,0.908,0.10800000000000001,0.248,0.08199999999999999,0.132,0.074,0.186,0.0,0.086,0.0,0.0,0.03
79,3.16,0.98,1,-0.064,0.192,0.034,-0.019,0.358,0.0,0.0,0.696,0.0,0.36,0.916,0.11000000000000001,0.254,0.076,0.11399999999999999,0.08,0.198,0.0,0.098,0.0,0.0,0.034
80,3.2,0.98,1,-0.061,0.19699999999999998,0.034,-0.017,0.354,0.0,0.0,0.714,0.0,0.356,0.916,0.10200000000000001,0.246,0.08,0.12,0.057999999999999996,0.22200000000000003,0.0,0.11399999999999999,0.0,0.0,0.048
81,3.24,0.98,1,-0.057999999999999996,0.20199999999999999,0.033,-0.012,0.34600000000000003,0.0,0.0,0.7,0.0,0.35,0.9279999999999999,0.09,0.248,0.08399999999999999,0.10800000000000001,0.06999999999999999,0.21200000000000002,0.0,0.134,0.0,0.0,0.054000000000000006
82,3.28,0.98,1,-0.073,0.193,0.027999999999999997,-0.008,0.341,0.0,0.0,0.688,0.0,0.34199999999999997,0.916,0.078,0.242,0.086,0.124,0.066,0.21400000000000002,0.0,0.146,0.0,0.0,0.054000000000000006
83,3.32,0.98,1,-0.07,0.188,0.023,-0.006,0.336,0.0,0.0,0.666,0.0,0.33599999999999997,0.8939999999999999,0.072,0.25,0.08199999999999999,0.122,0.076,0.20400000000000001,0.0,0.15,0.0,0.0,0.054000000000000006
84,3.36,0.98,1,-0.077,0.183,0.017,-0.005,0.332,0.0,0.0,0.6839999999999999,0.0,0.33599999999999997,0.8779999999999999,0.08199999999999999,0.25,0.078,0.11599999999999999,0.057999999999999996,0.20400000000000001,0.0,0.136,0.0,0.0,0.05600000000000001
85,3.4,0.98,1,-0.075,0.185,0.016,-0.003,0.33,0.0,0.0,0.692,0.0,0.344,0.8880000000000001,0.08,0.252,0.08,0.10600000000000001,0.044,0.19,0.0,0.124,0.0,0.0,0.062
86,3.44,0.98,1,-0.075,0.18899999999999997,0.017,-0.003,0.326,0.0,0.0,0.6980000000000001,0.0,0.34199999999999997,0.882,0.09,0.248,0.076,0.098,0.036,0.188,0.0,0.11200000000000002,0.0,0.0,0.064
87,3.48,0.98,1,-0.075,0.188,0.016,-0.004,0.326,0.0,0.0,0.6839999999999999,0.0,0.33599999999999997,0.8619999999999999,0.092,0.246,0.086,0.09,0.05,0.174,0.0,0.10200000000000001,0.0,0.0,0.048
88,3.52,0.98,1,-0.069,0.19,0.015,-0.004,0.325,0.0,0.0,0.6719999999999999,0.0,0.32599999999999996,0.8240000000000001,0.094,0.248,0.086,0.096,0.064,0.18,0.0,0.094,0.0,0.0,0.046
89,3.56,0.98,1,-0.07,0.183,0.015,-0.006,0.325,0.0,0.0,0.6559999999999999,0.0,0.318,0.8140000000000001,0.09,0.24,0.098,0.10400000000000001,0.057999999999999996,0.18,0.0,0.092,0.0,0.0,0.022
90,3.6,0.98,1,-0.064,0.18,0.013000000000000001,-0.006999999999999999,0.327,0.0,0.0,0.654,0.0,0.302,0.8119999999999999,0.08,0.238,0.096,0.10400000000000001,0.05600000000000001,0.178,0.0,0.094,0.0,0.0,0.016
91,3.64,0.98,1,-0.063,0.177,0.016,-0.006999999999999999,0.327,0.0,0.0,0.6719999999999999,0.0,0.298,0.8460000000000001,0.068,0.22799999999999998,0.10200000000000001,0.10400000000000001,0.057999999999999996,0.184,0.0,0.092,0.0,0.0,0.002
92,3.68,0.98,1,-0.057999999999999996,0.179,0.017,-0.008,0.327,0.0,0.0,0.682,0.0,0.294,0.876,0.057999999999999996,0.22000000000000003,0.098,0.1,0.066,0.2,0.0,0.092,0.0,0.0,0.0
93,3.72,0.98,1,-0.057,0.179,0.018000000000000002,-0.006999999999999999,0.327,0.0,0.0,0.692,0.0,0.296,0.8960000000000001,0.057999999999999996,0.21600000000000003,0.10600000000000001,0.1,0.06,0.21200000000000002,0.0,0.09,0.0,0.0,0.0
94,3.76,0.98,1,-0.069,0.177,0.018000000000000002,-0.008,0.327,0.0,0.0,0.688,0.0,0.29,0.898,0.05600000000000001,0.21600000000000003,0.10600000000000001,0.094,0.054000000000000006,0.21400000000000002,0.0,0.09,0.0,0.0,0.0
95,3.8,0.98,1,-0.064,0.179,0.021,-0.009000000000000001,0.327,0.0,0.0,0.702,0.0,0.29,0.876,0.044,0.21400000000000002,0.11399999999999999,0.096,0.048,0.2,0.0,0.088,0.0,0.0,0.0
96,3.84,0.98,1,-0.055999999999999994,0.18100000000000002,0.021,-0.011000000000000001,0.327,0.0,0.0,0.696,0.0,0.286,0.8539999999999999,0.028000000000000004,0.20400000000000001,0.11599999999999999,0.1,0.04,0.186,0.0,0.076,0.0,0.0,0.0
