frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
66,1.137,0.98,1,-0.043,0.169,0.114,0.081,-0.069,0,0,0,0,0,0,0,0,0,0.146,0.084,0.334,0,0,0,0,0
67,1.154,0.98,1,-0.048,0.169,0.114,0.083,-0.069,0,0,0,0,0,0,0,0,0,0.124,0.08,0.332,0,0,0,0,0
68,1.171,0.98,1,-0.038,0.168,0.116,0.087,-0.07,0,0,0,0,0,0,0,0,0,0.11,0.084,0.344,0,0,0,0,0
69,1.189,0.98,1,-0.041,0.165,0.116,0.087,-0.07,0,0,0,0,0,0,0,0,0,0.074,0.08,0.338,0,0,0,0,0
70,1.206,0.98,1,-0.039,0.166,0.118,0.089,-0.069,0,0,0,0,0,0,0,0,0,0.076,0.054,0.324,0,0,0,0,0
71,1.223,0.98,1,-0.052,0.157,0.115,0.088,-0.067,0,0,0,0,0,0,0,0,0,0.09,0.02,0.306,0,0,0,0,0
72,1.24,0.98,1,-0.055,0.152,0.11,0.087,-0.067,0,0,0,0,0,0,0,0,0,0.122,0.012,0.316,0,0,0,0,0
73,1.258,0.98,1,-0.055,0.147,0.108,0.085,-0.067,0,0,0,0,0,0,0,0,0,0.116,0.03,0.326,0.008,0,0,0,0
74,1.275,0.98,1,-0.052,0.147,0.109,0.084,-0.067,0,0,0,0,0,0,0,0,0,0.124,0.048,0.328,0.008,0,0,0,0
75,1.292,0.98,1,-0.052,0.144,0.111,0.084,-0.068,0,0,0,0,0,0,0,0,0,0.112,0.062,0.318,0.016,0,0,0,0
76,1.309,0.98,1,-0.044,0.144,0.116,0.088,-0.069,0,0,0,0,0,0,0,0,0,0.114,0.06,0.31,0.014,0,0,0,0
77,1.326,0.98,1,-0.041,0.141,0.115,0.09,-0.07,0,0,0,0,0,0,0,0,0,0.098,0.072,0.3,0.028,0,0,0,0
78,1.344,0.98,1,-0.055,0.133,0.107,0.085,-0.07,0,0,0,0,0,0,0,0,0,0.106,0.084,0.302,0.018,0,0,0,0
79,1.361,0.98,1,-0.045,0.136,0.111,0.088,-0.072,0,0,0,0,0,0,0,0,0,0.11,0.096,0.302,0.012,0,0,0,0
80,1.378,0.98,1,-0.044,0.141,0.109,0.092,-0.072,0,0,0,0,0,0,0,0,0,0.11,0.092,0.322,0.012,0,0,0,0
81,1.395,0.98,1,-0.032,0.151,0.109,0.092,-0.072,0,0,0,0,0,0,0,0,0,0.092,0.102,0.338,0.024,0,0,0,0
82,1.413,0.98,1,-0.032,0.146,0.108,0.093,-0.071,0,0,0,0,0,0,0,0,0,0.078,0.108,0.35,0.026,0,0,0,0
83,1.43,0.98,1,-0.03,0.148,0.106,0.095,-0.07,0.004,0,0,0,0,0,0,0,0,0.076,0.11,0.344,0.022,0,0,0,0
84,1.447,0.98,1,-0.033,0.155,0.105,0.098,-0.069,0.006,0,0,0,0,0,0,0,0,0.056,0.102,0.322,0.046,0,0,0,0
85,1.464,0.98,1,-0.058,0.202,0.107,0.104,-0.069,0.018,0,0.004,0,0,0.012,0,0,0,0.062,0.1,0.316,0.054,0,0,0,0
86,1.482,0.98,1,-0.088,0.249,0.116,0.113,-0.07,0.036,0,0.004,0,0,0.016,0,0,0,0.066,0.1,0.302,0.054,0,0,0,0
87,1.499,0.98,1,-0.121,0.277,0.117,0.117,-0.068,0.048,0,0.004,0,0,0.028,0,0,0,0.102,0.098,0.296,0.036,0,0,0,0
88,1.516,0.98,1,-0.142,0.286,0.121,0.119,-0.053,0.046,0,0,0,0,0.024,0,0,0,0.096,0.098,0.268,0.034,0,0,0,0
89,1.533,0.98,1,-0.148,0.279,0.118,0.122,-0.041,0.024,0,0.018,0,0,0.036,0,0,0,0.12,0.07,0.222,0.044,0,0,0,0.002
90,1.55,0.98,1,-0.168,0.291,0.134,0.133,-0.02,0.01,0,0.04,0,0.002,0.028,0,0,0,0.134,0.036,0.176,0.028,0,0,0,0.002
91,1.568,0.98,1,-0.171,0.291,0.135,0.134,-0.007,0,0,0.078,0,0.008,0.03,0,0,0,0.172,0,0.128,0.016,0,0,0,0.002
92,1.585,0.98,1,-0.17,0.287,0.131,0.145,-0.002,0.004,0,0.09,0,0.008,0.024,0,0,0,0.164,0.02,0.11,0.002,0,0,0,0
93,1.602,0.98,1,-0.171,0.272,0.126,0.162,0,0.008,0,0.094,0,0.006,0.05,0,0,0,0.172,0.04,0.106,0.002,0.002,0,0,0
94,1.619,0.98,1,-0.178,0.27,0.127,0.176,0.005,0.016,0,0.102,0,0.004,0.06,0,0,0,0.164,0.054,0.13,0.002,0.014,0,0,0
95,1.637,0.98,1,-0.181,0.27,0.129,0.192,0.012,0.028,0,0.126,0,0.004,0.106,0,0,0,0.156,0.05,0.148,0,0.026,0,0,0
96,1.654,0.98,1,-0.184,0.271,0.126,0.208,0.018,0.036,0,0.144,0,0.004,0.092,0,0,0,0.138,0.058,0.124,0,0.044,0,0,0
97,1.671,0.98,1,-0.188,0.266,0.122,0.223,0.023,0.036,0,0.148,0,0,0.088,0,0,0,0.1,0.068,0.114,0,0.056,0,0,0
