frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
50,2.0,0.98,1,-0.096,0.21600000000000003,0.021,-0.013999999999999999,0.37,0.10400000000000001,0.0,0.004,0.0,0.21000000000000002,0.45599999999999996,0.004,0.20800000000000002,0.264,0.27599999999999997,0.05,0.002,0.0,0.086,0.0,0.0,0.0
51,2.04,0.98,1,-0.10400000000000001,0.217,0.025,-0.008,0.368,0.11599999999999999,0.0,0.004,0.0,0.21000000000000002,0.44000000000000006,0.004,0.21800000000000003,0.262,0.256,0.05600000000000001,0.024,0.0,0.09,0.0,0.0,0.0
52,2.08,0.98,1,-0.114,0.222,0.027999999999999997,-0.006,0.368,0.11599999999999999,0.0,0.0,0.0,0.20800000000000002,0.446,0.004,0.21800000000000003,0.256,0.238,0.044,0.04,0.0,0.096,0.0,0.0,0.0
53,2.12,0.98,1,-0.107,0.221,0.03,-0.005,0.36700000000000005,0.11599999999999999,0.0,0.006,0.0,0.21000000000000002,0.40599999999999997,0.004,0.21800000000000003,0.258,0.24,0.022,0.048,0.0,0.092,0.0,0.0,0.0
54,2.16,0.98,1,-0.10300000000000001,0.223,0.03,-0.005,0.365,0.11200000000000002,0.0,0.01,0.0,0.20800000000000002,0.4,0.0,0.21200000000000002,0.266,0.24,0.022,0.026000000000000002,0.0,0.09,0.0,0.0,0.0
55,2.2,0.98,1,-0.10300000000000001,0.221,0.031,-0.005,0.365,0.098,0.0,0.012,0.0,0.20800000000000002,0.40599999999999997,0.0,0.2,0.268,0.246,0.02,0.028000000000000004,0.0,0.086,0.0,0.0,0.0
56,2.24,0.98,1,-0.10099999999999999,0.21899999999999997,0.028999999999999998,-0.002,0.363,0.08199999999999999,0.0,0.014000000000000002,0.0,0.20600000000000002,0.43,0.006,0.2,0.268,0.238,0.02,0.026000000000000002,0.0,0.078,0.0,0.0,0.0
57,2.28,0.98,1,-0.098,0.218,0.03,-0.002,0.361,0.062,0.0,0.014000000000000002,0.0,0.21200000000000002,0.46799999999999997,0.006,0.188,0.272,0.238,0.018,0.038,0.0,0.074,0.0,0.0,0.0
58,2.32,0.98,1,-0.098,0.221,0.031,-0.001,0.36,0.074,0.0,0.012,0.0,0.21400000000000002,0.472,0.006,0.188,0.27999999999999997,0.22200000000000003,0.026000000000000002,0.032,0.0,0.072,0.0,0.0,0.0
59,2.36,0.98,1,-0.1,0.223,0.033,-0.001,0.359,0.068,0.0,0.012,0.0,0.21800000000000003,0.472,0.002,0.182,0.284,0.22400000000000003,0.04,0.038,0.0,0.08,0.0,0.0,0.0
60,2.4,0.98,1,-0.095,0.22,0.031,-0.001,0.35700000000000004,0.06999999999999999,0.0,0.008,0.0,0.21800000000000003,0.47800000000000004,0.004,0.19,0.286,0.22200000000000003,0.041999999999999996,0.03,0.0,0.078,0.0,0.0,0.0
61,2.44,0.98,1,-0.092,0.221,0.033,-0.002,0.35600000000000004,0.057999999999999996,0.0,0.008,0.0,0.22200000000000003,0.48600000000000004,0.004,0.186,0.284,0.236,0.052000000000000005,0.028000000000000004,0.0,0.078,0.0,0.0,0.0
62,2.48,0.98,1,-0.092,0.22,0.034,-0.001,0.355,0.052000000000000005,0.0,0.002,0.0,0.22000000000000003,0.49800000000000005,0.002,0.184,0.284,0.236,0.062,0.034,0.0,0.076,0.0,0.0,0.0
63,2.52,0.98,1,-0.095,0.222,0.035,-0.001,0.354,0.046,0.0,0.012,0.0,0.22200000000000003,0.49800000000000005,0.004,0.18,0.27999999999999997,0.24,0.074,0.041999999999999996,0.0,0.076,0.0,0.0,0.0
64,2.56,0.98,1,-0.09,0.22399999999999998,0.034,-0.002,0.354,0.041999999999999996,0.0,0.014000000000000002,0.0,0.21800000000000003,0.506,0.004,0.16999999999999998,0.282,0.25,0.062,0.052000000000000005,0.0,0.074,0.0,0.0,0.0
65,2.6,0.98,1,-0.09,0.22399999999999998,0.035,-0.003,0.354,0.041999999999999996,0.0,0.016,0.0,0.22400000000000003,0.508,0.004,0.16399999999999998,0.282,0.248,0.044,0.05,0.0,0.074,0.0,0.0,0.0
66,2.64,0.98,1,-0.08900000000000001,0.217,0.031,-0.004,0.353,0.041999999999999996,0.0,0.018,0.0,0.22599999999999998,0.51,0.004,0.158,0.27999999999999997,0.244,0.02,0.04,0.0,0.068,0.0,0.0,0.0
67,2.68,0.98,1,-0.087,0.21600000000000003,0.033,-0.005,0.35200000000000004,0.054000000000000006,0.0,0.078,0.0,0.238,0.508,0.02,0.184,0.262,0.242,0.01,0.024,0.0,0.066,0.0,0.0,0.0
68,2.72,0.98,1,-0.086,0.223,0.033,-0.006,0.35,0.06999999999999999,0.0,0.20400000000000001,0.0,0.26,0.54,0.036,0.20600000000000002,0.236,0.238,0.008,0.006,0.0,0.076,0.0,0.0,0.0
69,2.76,0.98,1,-0.11,0.21600000000000003,0.033,-0.006999999999999999,0.35,0.068,0.0,0.366,0.0,0.3,0.62,0.06,0.23399999999999999,0.21000000000000002,0.242,0.004,0.004,0.0,0.088,0.0,0.0,0.0
70,2.8,0.98,1,-0.10300000000000001,0.22,0.033,-0.011000000000000001,0.349,0.041999999999999996,0.0,0.544,0.0,0.33799999999999997,0.736,0.10200000000000001,0.248,0.18,0.242,0.006,0.03,0.0,0.11200000000000002,0.0,0.0,0.0
71,2.84,0.98,1,-0.066,0.221,0.043,-0.012,0.34700000000000003,0.014000000000000002,0.0,0.6599999999999999,0.0,0.354,0.8019999999999999,0.136,0.264,0.158,0.242,0.022,0.041999999999999996,0.002,0.128,0.0,0.0,0.0
72,2.88,0.98,1,-0.068,0.21100000000000002,0.045,-0.015,0.35,0.0,0.0,0.716,0.0,0.35,0.784,0.16,0.27,0.134,0.246,0.028000000000000004,0.062,0.002,0.156,0.0,0.0,0.0
73,2.92,0.98,1,-0.077,0.20199999999999999,0.046,-0.02,0.353,0.0,0.0,0.716,0.0,0.344,0.774,0.16599999999999998,0.27799999999999997,0.126,0.242,0.044,0.06,0.002,0.16799999999999998,0.0,0.0,0.0
74,2.96,0.98,1,-0.07400000000000001,0.203,0.045,-0.022000000000000002,0.358,0.0,0.0,0.726,0.0,0.34199999999999997,0.788,0.184,0.282,0.10400000000000001,0.26,0.044,0.078,0.0,0.16999999999999998,0.0,0.0,0.0
75,3.0,0.98,1,-0.065,0.19699999999999998,0.039,-0.025,0.366,0.0,0.0,0.75,0.0,0.354,0.8119999999999999,0.2,0.296,0.094,0.258,0.057999999999999996,0.10400000000000001,0.0,0.16599999999999998,0.0,0.0,0.006
76,3.04,0.98,1,-0.08,0.19399999999999998,0.04,-0.024,0.365,0.0,0.0,0.768,0.0,0.356,0.82,0.20800000000000002,0.302,0.078,0.242,0.06,0.11599999999999999,0.0,0.16799999999999998,0.0,0.0,0.016
77,3.08,0.98,1,-0.079,0.205,0.042,-0.022000000000000002,0.36200000000000004,0.0,0.0,0.77,0.0,0.356,0.828,0.21200000000000002,0.3,0.076,0.22400000000000003,0.08399999999999999,0.122,0.0,0.172,0.0,0.0,0.032
78,3.12,0.98,1,-0.059000000000000004,0.22,0.042,-0.023,0.35600000000000004,0.0,0.0,0.772,0.0,0.35,0.826,0.21600000000000003,0.306,0.068,0.21200000000000002,0.12,0.124,0.0,0.18,0.0,0.0,0.05
79,3.16,0.98,1,-0.066,0.221,0.045,-0.02,0.35200000000000004,0.0,0.0,0.764,0.0,0.344,0.8160000000000001,0.22200000000000003,0.302,0.068,0.21400000000000002,0.144,0.124,0.0,0.19,0.0,0.0,0.062
80,3.2,0.98,1,-0.063,0.221,0.044000000000000004,-0.019,0.348,0.0,0.0,0.758,0.0,0.33999999999999997,0.82,0.21400000000000002,0.32,0.072,0.184,0.146,0.10400000000000001,0.0,0.196,0.0,0.0,0.064
81,3.24,0.98,1,-0.059000000000000004,0.21100000000000002,0.031,-0.015,0.344,0.0,0.0,0.76,0.0,0.33399999999999996,0.8240000000000001,0.20400000000000001,0.308,0.072,0.156,0.124,0.09,0.0,0.192,0.0,0.0,0.054000000000000006
82,3.28,0.98,1,-0.073,0.205,0.021,-0.016,0.34299999999999997,0.0,0.0,0.75,0.0,0.33199999999999996,0.818,0.186,0.29,0.068,0.13,0.124,0.092,0.0,0.184,0.0,0.0,0.044
83,3.32,0.98,1,-0.066,0.195,0.011000000000000001,-0.017,0.341,0.0,0.0,0.73,0.0,0.32799999999999996,0.794,0.176,0.266,0.062,0.128,0.12,0.10200000000000001,0.0,0.18,0.0,0.0,0.041999999999999996
