frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
37,1.48,0.98,1,0.301,0.315,0.248,-0.29100000000000004,0.057,0.054000000000000006,0.0,0.0,0.0,0.014000000000000002,0.21800000000000003,0.0,0.052000000000000005,0.13799999999999998,0.16999999999999998,0.198,0.044,0.026000000000000002,0.008,0.118,0.004,0.0
38,1.52,0.98,1,0.311,0.32,0.258,-0.294,0.065,0.11000000000000001,0.0,0.0,0.0,0.0,0.172,0.0,0.038,0.072,0.06999999999999999,0.238,0.052000000000000005,0.0,0.0,0.136,0.004,0.0
39,1.56,0.98,1,0.32799999999999996,0.309,0.267,-0.301,0.069,0.162,0.0,0.0,0.01,0.0,0.128,0.0,0.006,0.03,0.022,0.246,0.06999999999999999,0.0,0.0,0.11000000000000001,0.004,0.0
40,1.6,0.98,1,0.33399999999999996,0.304,0.265,-0.306,0.071,0.184,0.0,0.0,0.018,0.0,0.09,0.0,0.004,0.024,0.0,0.22200000000000003,0.04,0.0,0.0,0.086,0.02,0.0
41,1.64,0.98,1,0.336,0.303,0.266,-0.308,0.075,0.20800000000000002,0.0,0.0,0.038,0.0,0.11599999999999999,0.0,0.004,0.024,0.0,0.144,0.024,0.0,0.0,0.11000000000000001,0.1,0.0
42,1.68,0.98,1,0.33799999999999997,0.318,0.282,-0.311,0.08199999999999999,0.262,0.028000000000000004,0.0,0.041999999999999996,0.0,0.13,0.0,0.006,0.016,0.0,0.06999999999999999,0.0,0.0,0.0,0.194,0.22400000000000003,0.0
43,1.72,0.98,1,0.337,0.317,0.292,-0.315,0.085,0.29,0.1,0.0,0.036,0.0,0.126,0.0,0.002,0.004,0.0,0.008,0.0,0.0,0.012,0.16399999999999998,0.302,0.0
44,1.76,0.98,1,0.327,0.311,0.243,-0.308,0.068,0.32999999999999996,0.184,0.0,0.014000000000000002,0.0,0.096,0.0,0.002,0.0,0.0,0.0,0.014000000000000002,0.0,0.046,0.10400000000000001,0.33199999999999996,0.0
45,1.8,0.98,1,0.32299999999999995,0.304,0.231,-0.305,0.061,0.318,0.22200000000000003,0.0,0.0,0.0,0.092,0.0,0.002,0.0,0.0,0.0,0.022,0.004,0.08399999999999999,0.0,0.308,0.0
46,1.84,0.98,1,0.32,0.301,0.222,-0.301,0.059000000000000004,0.316,0.21800000000000003,0.0,0.0,0.0,0.072,0.0,0.0,0.012,0.008,0.0,0.041999999999999996,0.012,0.098,0.0,0.312,0.0
47,1.88,0.98,1,0.308,0.284,0.203,-0.292,0.05,0.288,0.198,0.0,0.0,0.0,0.05600000000000001,0.0,0.0,0.034,0.008,0.0,0.057999999999999996,0.012,0.078,0.0,0.262,0.0
48,1.92,0.98,1,0.305,0.259,0.182,-0.29100000000000004,0.04,0.258,0.186,0.0,0.0,0.0,0.022,0.0,0.008,0.064,0.028000000000000004,0.0,0.072,0.01,0.04,0.002,0.21800000000000003,0.0
49,1.96,0.98,1,0.309,0.258,0.177,-0.28600000000000003,0.036000000000000004,0.246,0.158,0.0,0.0,0.0,0.028000000000000004,0.0,0.016,0.088,0.068,0.008,0.08199999999999999,0.0,0.014000000000000002,0.041999999999999996,0.16799999999999998,0.0
50,2.0,0.98,1,0.29600000000000004,0.255,0.168,-0.281,0.027999999999999997,0.22000000000000003,0.124,0.0,0.004,0.0,0.036,0.0,0.016,0.10400000000000001,0.11200000000000002,0.026000000000000002,0.05600000000000001,0.0,0.0,0.08,0.154,0.0
